title,authors,doi,venue,source,year,is_top_venue
The Problem of Activity in Psychology,['А. Н. Леонтьев'],https://doi.org/10.4324/9781003575429-2,N/A,OpenAlex,2024,False
Diffusion policy: Visuomotor policy learning via action diffusion,"['Cheng Chi', 'Zhenjia Xu', 'Siyuan Feng', 'Eric Cousineau', 'Yilun Du', 'Benjamin Burchfiel', 'Russ Tedrake', 'Shuran Song']",https://doi.org/10.1177/02783649241273668,The International Journal of Robotics Research,OpenAlex,2024,False
Addressing climate change with behavioral science: A global intervention tournament in 63 countries,"['Madalina Vlasceanu', 'Kimberly C Doell', 'Joseph B. Bak-Coleman', 'Boryana Todorova', 'Michael Berkebile-Weinberg', 'Samantha J Grayson', 'Yash Patel', 'Danielle Goldwert', 'Yifei Pei', 'Alek Chakroff', 'Ekaterina Pronizius', 'Karlijn L. van den Broek', 'Denisa Vlasceanu', 'Sara M. Constantino', 'Michael J. Morais', 'Philipp Schumann', 'Steve Rathje', 'Ke Fang', 'Salvatore Maria Aglioti', 'Mark Alfano', 'Andy J Alvarado-Yepez', 'Angélica Andersen', 'Frederik Anseel', 'Matthew A J Apps', 'Chillar Asadli', 'Fonda Jane Awuor', 'Flávio Azevedo', 'Piero Basaglia', 'Jocelyn J. Bélanger', 'Sebastian Berger', 'Paul Bertin', 'Michał Białek', 'Olga Białobrzeska', 'Michelle Blaya-Burgo', 'Daniëlle N. M. Bleize', 'Simen Bø', 'Lea Boecker', 'Paulo S. Boggio', 'Sylvie Borau', 'Björn Bos', 'Ayoub Bouguettaya', 'Markus Bräuer', 'Cameron Brick', 'Tymofii Brik', 'Roman Briker', 'Tobias Brosch', 'Ondrej Buchel', 'Daniel Buonauro', 'Radhika Butalia', 'Héctor Carvacho', 'Sarah A. E. Chamberlain', 'Hang‐Yee Chan', 'Dawn Yi Lin Chow', 'Dongil Chung', 'Luca Cian', 'Noa Cohen-Eick', 'Luis Sebastian Contreras-Huerta', 'Davide Contu', 'Vladimir Cristea', 'Jo Cutler', 'Silvana D’Ottone', 'Jonas De keersmaecker', 'Sarah Delcourt', 'Sylvain Delouvée', 'Kathi Diel', 'Benjamin D Douglas', 'Moritz A. Drupp', 'Shreya Dubey', 'Jānis Ekmanis', 'Christian T. Elbaek', 'Mahmoud Medhat Elsherif', 'Iris M. Engelhard', 'Yannik A. Escher', 'Tom Étienne', 'Laura Farage', 'Ana Rita Farias', 'Stefan Feuerriegel', 'Andrej Findor', 'Lucía Freira', 'Malte Friese', 'Neil Philip Gains', 'Albina Gallyamova', 'Sandra J. Geiger', 'Oliver Genschow', 'Biljana Gjoneska', 'Theofilos Gkinopoulos', 'Beth Goldberg', 'Amit Goldenberg', 'Sarah Gradidge', 'Simone Grassini', 'Kurt Gray', 'Sonja Grelle', 'Siobhán M. Griffin', 'Lusine Grigoryan', 'Ani Grigoryan', 'Dmitry Grigoryev', 'June Gruber', 'Johnrev Guilaran', 'Britt Hadar', 'Ulf J.J. Hahnel']",https://doi.org/10.1126/sciadv.adj5778,Science Advances,OpenAlex,2024,False
Extended TAM based acceptance of AI-Powered ChatGPT for supporting metacognitive self-regulated learning in education: A mixed-methods study,"['Nisar Ahmed Dahri', 'Noraffandy Yahaya', 'Waleed Mugahed Al-Rahmi', 'Ahmed Aldraiweesh', 'Uthman Alturki', 'Sultan Almutairy', 'Anna Shutaleva', 'Rahim Bux Soomro']",https://doi.org/10.1016/j.heliyon.2024.e29317,Heliyon,OpenAlex,2024,False
ConceptGraphs: Open-Vocabulary 3D Scene Graphs for Perception and Planning,"['Qiao Gu', 'Ali Kuwajerwala', 'Sacha Morin', 'Krishna Murthy Jatavallabhula', 'Bipasha Sen', 'Aditya Agarwal', 'Corban G. Rivera', 'William Paul', 'Kirsty Ellis', 'Rama Chellappa', 'Chuang Gan', 'Celso Miguel de Melo', 'Joshua B. Tenenbaum', 'Antonio Torralba', 'Florian Shkurti', 'Liam Paull']",https://doi.org/10.1109/icra57147.2024.10610243,N/A,OpenAlex,2024,False
Pufferfish Optimization Algorithm: A New Bio-Inspired Metaheuristic Algorithm for Solving Optimization Problems,"['Osama Al-Baik', 'Saleh Ali Alomari', 'Omar Alssayed', 'Saikat Gochhait', 'Irina Leonova', 'Uma Dutta', 'O.P. Malik', 'Zeinab Montazeri', 'Mohammad Dehghani']",https://doi.org/10.3390/biomimetics9020065,Biomimetics,OpenAlex,2024,False
Investigating AI-based academic support acceptance and its impact on students’ performance in Malaysian and Pakistani higher education institutions,"['Nisar Ahmed Dahri', 'Noraffandy Yahaya', 'Waleed Mugahed Al-Rahmi', 'Muhammad Saleem Vighio', 'Fahad Alblehai', 'Rahim Bux Soomro', 'Anna Shutaleva']",https://doi.org/10.1007/s10639-024-12599-x,Education and Information Technologies,OpenAlex,2024,False
"Dimensional diversity (0D, 1D, 2D, and 3D) in perovskite solar cells: exploring the potential of mixed-dimensional integrations","['Xin Li', 'Sikandar Aftab', 'Sajjad Hussain', 'Fahmid Kabir', 'A.M.A. Henaish', 'Abdullah G. Al‐Sehemi', 'Mohan Reddy Pallavolu', 'Ganesh Koyyada']",https://doi.org/10.1039/d3ta06953b,Journal of Materials Chemistry A,OpenAlex,2024,False
Semantic segmentation of microbial alterations based on SegFormer,"['Wael M. Elmessery', 'Danil V. Maklakov', 'Tamer M. El‐Messery', 'Denis Baranenko', 'Joaquín Gutiérrez', 'Mahmoud Y. Shams', 'Tarek Abd El‐Hafeez', 'Salah Elsayed', 'Sadeq K. Alhag', 'Farahat S. Moghanm', 'Maksim A. Mulyukin', 'Yuliya Petrova', 'Abdallah Elshawadfy Elwakeel']",https://doi.org/10.3389/fpls.2024.1352935,Frontiers in Plant Science,OpenAlex,2024,False
Large language models surpass human experts in predicting neuroscience results,"['Xiaoliang Luo', 'Akilles Rechardt', 'Guangzhi Sun', 'Kevin Kermani Nejad', 'Felipe Yáñez', 'Bati Yilmaz', 'Kangjoo Lee', 'Alexandra O. Cohen', 'Valentina Borghesani', 'Anton Pashkov', 'Daniele Marinazzo', 'Jonathan Nicholas', 'Alessandro Salatiello', 'Ilia Sucholutsky', 'Pasquale Minervini', 'S. Morteza Razavi', 'Roberta Rocca', 'Elkhan Yusifov', 'Tereza Okalova', 'Nianlong Gu', 'Martin Ferianc', 'Mikail Khona', 'Kaustubh R. Patil', 'Pui-Shee Lee', 'Rui Mata', 'Nicholas E. Myers', 'Jennifer K. Bizley', 'Sebastian Musslick', 'Isil Poyraz Bilgin', 'Guiomar Niso', 'Justin M. Ales', 'Michael Gaebler', 'N. Apurva Ratan Murty', 'Leyla Loued‐Khenissi', 'Anna Behler', 'Chloe M. Hall', 'Jessica Dafflon', 'Sherry Dongqi Bao', 'Bradley C. Love']",https://doi.org/10.1038/s41562-024-02046-9,Nature Human Behaviour,OpenAlex,2024,False
